Unnamed: 0,id,y,year,stage,match,gameday,time,home,away,stadium,tv,home_score,away_score,weather,temperature,humidity,Discomfort,discom,referee,home_team,home_01,home_02,home_03,home_04,home_05,home_06,home_07,home_08,home_09,home_10,home_11,away_team,away_01,away_02,away_03,away_04,away_05,away_06,away_07,away_08,away_09,away_10,away_11,address,capa,home_rank,away_rank,forme,roofcover,mobilization,home_lat,home_long,away_lat,away_long,distance_km,timezone,MONTH,WEEK,tv_num,WEATHER,match_num,week_timezone,month_timezone,train,roofcover_1,capa_bining,distance_km2,rep_count,阿部　勇樹,遠藤　保仁,柿谷　曜一朗,駒野　友一,権田　修一,原口　元気,今野　泰幸,佐藤　寿人,山口　蛍,柴崎　岳,森重　真人,森脇　良太,水本　裕貴,西川　周作,青山　敏弘,前田　遼一,大久保　嘉人,大迫　勇也,谷口　博之,中村　憲剛,南野　拓実,柏木　陽介,豊田　陽平,槙野　智章,林　卓人,齋藤　学,髙萩　洋次郎,rep_away,rep_home,referee_rate,referee_rank,season_ticket,season_ticket_rate
0,13994,18250,2012,Ｊ１,第１節第１日,03/10(土),14:04,ベガルタ仙台,鹿島アントラーズ,ユアテックスタジアム仙台,スカパー／ｅ２／スカパー光／ＮＨＫ総合,1,0,雨,3.8,66%,42,1,木村　博之,ベガルタ仙台,林　卓人,菅井　直樹,鎌田　次郎,上本　大海,田村　直也,富田　晋伍,角田　誠,太田　吉彰,関口　訓充,ウイルソン,赤嶺　真吾,鹿島アントラーズ,曽ヶ端　準,新井場　徹,岩政　大樹,中田　浩二,アレックス,青木　剛,増田　誓志,小笠原　満男,本山　雅志,大迫　勇也,ジュニーニョ,宮城県仙台市泉区七北田字柳78,19694,,,専用,100.0,0.92668,38.319158,140.881857,35.992776,140.641766,259.0623305,<function timezone at 0x000001CC36D28280>,3,土,4,雨,1,土noon,3noon,1,"(75, 100]","(10000, 20000]","(100, 300]",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0.342105263,1,8482.6,0.511
1,13995,24316,2012,Ｊ１,第１節第１日,03/10(土),14:04,名古屋グランパス,清水エスパルス,豊田スタジアム,スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　４）／ＮＨＫ名古屋,1,0,屋内,12.4,43%,55,2,西村　雄一,名古屋グランパス,楢﨑　正剛,田中　隼磨,田中　マルクス闘莉王,増川　隆洋,阿部　翔平,中村　直志,ダニルソン,藤本　淳吾,金崎　夢生,ケネディ,玉田　圭司,清水エスパルス,林　彰洋,吉田　豊,岩下　敬輔,カルフィン　ヨン　ア　ピン,李　記帝,村松　大輔,河井　陽介,枝村　匠馬,高木　俊幸,アレックス,大前　元紀,愛知県豊田市千石町7-2,40000,,,専用,100.0,0.6079,35.088621,137.171555,34.985168,138.481305,120.0599347,<function timezone at 0x000001CC36D28280>,3,土,4,晴,1,土noon,3noon,1,"(75, 100]","(30000, 40000]","(100, 300]",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.368421053,1,5163.601882,0.301
2,13996,17066,2012,Ｊ１,第１節第１日,03/10(土),14:04,ガンバ大阪,ヴィッセル神戸,万博記念競技場,スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　１）／ＮＨＫ大阪,2,3,晴一時雨,11.3,41%,54,1,高山　啓義,ガンバ大阪,藤ヶ谷　陽介,加地　亮,中澤　聡太,今野　泰幸,藤春　廣輝,明神　智和,遠藤　保仁,佐々木　勇人,二川　孝広,ラフィーニャ,パウリーニョ,ヴィッセル神戸,徳重　健太,近藤　岳登,北本　久仁衛,伊野波　雅彦,相馬　崇人,三原　雅俊,田中　英雄,野沢　拓也,橋本　英郎,森岡　亮太,大久保　嘉人,大阪府吹田市千里万博公園5-2,21000,,,陸上,1.0,0.81267,34.811971,135.541163,34.656726,135.168171,38.2553085,<function timezone at 0x000001CC36D28280>,3,土,4,晴,1,土noon,3noon,1,"(0, 5]","(20000, 30000]","(0, 100]",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0.236842105,3,10684.74918,0.723
3,13997,29603,2012,Ｊ１,第１節第１日,03/10(土),14:06,サンフレッチェ広島,浦和レッズ,エディオンスタジアム広島,スカパー／ｅ２／スカパー光／ＮＨＫ広島,1,0,曇一時雨のち晴,11.4,52%,54,1,松尾　一,サンフレッチェ広島,西川　周作,森脇　良太,千葉　和彦,水本　裕貴,ミキッチ,青山　敏弘,森﨑　和幸,山岸　智,石原　直樹,髙萩　洋次郎,佐藤　寿人,浦和レッズ,加藤　順大,濱田　水輝,阿部　勇樹,槙野　智章,平川　忠亮,鈴木　啓太,山田　直輝,梅崎　司,柏木　陽介,原口　元気,田中　達也,広島県広島市安佐南区大塚西5-1-1,50000,,,陸上,4.8,0.59206,34.441236,132.395422,35.902,139.714677,685.9860384,<function timezone at 0x000001CC36D28280>,3,土,4,曇,1,土noon,3noon,1,"(0, 5]","(40000, 50000]","(500, 1000]",3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,6,0.434210526,1,8452.692529,0.477
4,13998,25353,2012,Ｊ１,第１節第１日,03/10(土),14:04,コンサドーレ札幌,ジュビロ磐田,札幌ドーム,スカパー／ｅ２／スカパー光（スカイ・Ａ　ｓｐｏｒｔｓ＋）／ＮＨＫ札幌,0,0,屋内,22.5,32%,67,3,廣瀬　格,コンサドーレ札幌,李　昊乗,高木　純平,ジェイド　ノース,奈良　竜樹,岩沼　俊介,河合　竜二,山本　真希,近藤　祐介,内村　圭宏,岡本　賢明,前田　俊介,ジュビロ磐田,川口　能活,駒野　友一,チョ　ビョングク,藤田　義明,山本　脩斗,小林　裕紀,山本　康裕,山田　大記,松浦　拓弥,菅沼　実,前田　遼一,北海道札幌市豊平区羊ヶ丘1,39232,,,専用,100.0,0.64623,42.990187,141.392009,34.722804,137.878302,966.8859061,<function timezone at 0x000001CC36D28280>,3,土,4,晴,1,土noon,3noon,1,"(75, 100]","(30000, 40000]","(500, 1000]",2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0.289473684,2,6496.487118,0.541
5,13999,11283,2012,Ｊ１,第１節第１日,03/10(土),14:05,サガン鳥栖,セレッソ大阪,ベストアメニティスタジアム,スカパー／ｅ２／スカパー光／ＮＨＫ佐賀,0,0,晴,14.5,33%,58,2,井上　知大,サガン鳥栖,赤星　拓,丹羽　竜平,キム　クナン,呂　成海,磯崎　敬太,高橋　義希,藤田　直之,水沼　宏太,金　民友,池田　圭,豊田　陽平,セレッソ大阪,キム　ジンヒョン,茂庭　照幸,藤本　康太,丸橋　祐介,酒本　憲幸,扇原　貴宏,山口　螢,キム　ボギョン,清武　弘嗣,ブランキーニョ,ケンペス,佐賀県鳥栖市京町812,24490,,,専用,83.1,0.46072,33.372508,130.520424,34.615219,135.525871,482.5021344,<function timezone at 0x000001CC36D28280>,3,土,4,晴,1,土noon,3noon,1,"(75, 100]","(20000, 30000]","(300, 500]",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.302631579,2,4820.311059,0.402
6,14000,18920,2012,Ｊ１,第１節第１日,03/10(土),17:05,川崎フロンターレ,アルビレックス新潟,等々力陸上競技場,スカパー／ｅ２／スカパー光,1,0,曇,7.1,65%,47,1,山本　雄大,川崎フロンターレ,西部　洋平,實藤　友紀,ジェシ,森下　俊,小宮山　尊信,中村　憲剛,柴崎　晃誠,田坂　祐介,山瀬　功治,レナト,小松　塁,アルビレックス新潟,黒河　貴矢,三門　雄大,鈴木　大輔,大井　健太郎,金　珍洙,菊地　直哉,本間　勲,小谷野　顕治,アラン　ミネイロ,矢野　貴章,ブルーノ　ロペス,神奈川県川崎市中原区等々力1-1,26530,,,陸上,38.0,0.71315,35.59009,139.647336,37.882408,139.059359,259.7473546,<function timezone at 0x000001CC36D28280>,3,土,3,曇,1,土noon,3noon,1,"(5, 73]","(20000, 30000]","(100, 300]",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.276315789,2,10149.99,0.57
7,14001,11437,2012,Ｊ１,第１節第１日,03/10(土),19:04,大宮アルディージャ,ＦＣ東京,ＮＡＣＫ５スタジアム大宮,スカパー／ｅ２／スカパー光／ＮＨＫ　ＢＳ１,0,1,曇,9.2,57%,51,1,飯田　淳平,大宮アルディージャ,北野　貴之,村上　和弘,菊地　光将,金　英權,下平　匠,渡邉　大剛,カルリーニョス,青木　拓矢,曺　永哲,東　慶悟,ラファエル,ＦＣ東京,権田　修一,徳永　悠平,森重　真人,加賀　健一,太田　宏介,高橋　秀人,梶山　陽平,羽生　直剛,長谷川　アーリアジャスール,谷澤　達也,ルーカス,埼玉県さいたま市大宮区高鼻町4,15600,,,専用,5.2,0.73314,35.918913,139.63182,35.663902,139.525096,29.89441959,<function timezone at 0x000001CC36D28280>,3,土,4,曇,1,土night,3night,1,"(5, 73]","(10000, 20000]","(0, 100]",4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.342105263,1,7562.990647,0.711
8,14002,13082,2012,Ｊ１,第１節第２日,03/11(日),14:04,柏レイソル,横浜Ｆ・マリノス,日立柏サッカー場,スカパー／ｅ２／スカパー光（ＴＢＳチャンネル）,3,3,晴時々曇,12.1,46%,55,2,村上　伸次,柏レイソル,菅野　孝憲,酒井　宏樹,増嶋　竜也,近藤　直也,橋本　和,レアンドロ　ドミンゲス,茨田　陽生,大谷　秀和,ジョルジ　ワグネル,田中　順也,リカルド　ロボ,横浜Ｆ・マリノス,飯倉　大樹,小林　祐三,栗原　勇蔵,中澤　佑二,金井　貢史,兵藤　慎剛,小椋　祥平,中村　俊輔,齋藤　学,小野　裕二,大黒　将志,千葉県柏市日立台1-2-50,15349,,,専用,13.5,0.8523,35.848792,139.97567,35.510047,139.606337,50.30392755,<function timezone at 0x000001CC36D28280>,3,日,3,晴,1,日noon,3noon,1,"(5, 73]","(10000, 20000]","(0, 100]",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.447368421,1,4736.353882,0.344
9,14003,19010,2012,Ｊ１,第２節第１日,03/17(土),14:04,鹿島アントラーズ,川崎フロンターレ,県立カシマサッカースタジアム,スカパー／ｅ２／スカパー光／ＮＨＫ水戸,0,1,雨,13.3,86%,56,2,西村　雄一,鹿島アントラーズ,曽ヶ端　準,新井場　徹,岩政　大樹,中田　浩二,アレックス,柴崎　岳,増田　誓志,小笠原　満男,遠藤　康,大迫　勇也,ジュニーニョ,川崎フロンターレ,西部　洋平,實藤　友紀,ジェシ,森下　俊,小宮山　尊信,中村　憲剛,柴崎　晃誠,田坂　祐介,山瀬　功治,レナト,小松　塁,茨城県鹿嶋市神向寺後山26-2,40728,13.0,1.0,専用,67.9,0.46676,35.992776,140.641766,35.59009,139.647336,100.3873517,<function timezone at 0x000001CC36D28280>,3,土,4,雨,2,土noon,3noon,1,"(5, 73]","(40000, 50000]","(100, 300]",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0.368421053,1,6183.327529,0.402
